Date,equity
2023-11-22,3869.7787914407827
2023-11-23,3869.5184253832326
2023-11-24,3864.8261594346563
2023-11-25,3865.016681521002
2023-11-26,3864.0392645375437
2023-11-27,3867.493539466278
2023-11-28,3877.4612229555214
2023-11-29,3879.3405524293253
2023-11-30,3871.4164624411633
2023-12-01,3891.1765043423306
2023-12-02,3894.2429731060647
2023-12-03,3895.6550145568085
2023-12-04,3874.426970419454
2023-12-05,3889.798460227876
2023-12-06,3881.2219920042335
2023-12-07,3908.8965846597744
2023-12-08,3913.50653645415
2023-12-09,3912.439390904223
2023-12-10,3912.7941739316625
2023-12-11,3919.919715576035
2023-12-12,3937.3602433192204
2023-12-13,3981.6700093747104
2023-12-14,3994.138352833063
2023-12-15,3995.9068918143525
2023-12-16,3996.541210672856
2023-12-17,3994.5299273427636
2023-12-18,4010.7434784426637
2023-12-19,4025.228707684116
2023-12-20,3992.982511862153
2023-12-21,4018.9501509896513
2023-12-22,4024.0125199242007
2023-12-23,4023.2103211459594
2023-12-24,4021.101341551569
2023-12-25,4024.2313620385744
2023-12-26,4029.4038548274866
2023-12-27,4067.3463796295177
2023-12-28,4051.8822844951937
2023-12-29,4027.556185595495
2023-12-30,4026.9070342205787
2023-12-31,4026.3367935392926
2024-01-01,4045.9889925445173
2024-01-02,4012.001909744589
2024-01-03,3960.433740172939
2024-01-04,3955.269923895985
2024-01-05,3952.266488394364
2024-01-06,3948.100110865937
2024-01-07,3945.6561600255877
2024-01-08,4021.6370504603115
2024-01-09,4017.7926004459046
2024-01-10,4059.6443582204165
2024-01-11,4069.0721447088345
2024-01-12,4039.00931071834
2024-01-13,4044.9642859692754
2024-01-14,4026.6063183909014
2024-01-15,4033.8493964420463
2024-01-16,4031.3764911851326
2024-01-17,4006.9766136334424
2024-01-18,4019.653252967858
2024-01-19,4068.286677615787
2024-01-20,4066.6303839735037
2024-01-21,4064.4353915996126
2024-01-22,4045.0793910184766
2024-01-23,4046.107923956585
2024-01-24,4053.4895790009164
2024-01-25,4059.894488315991
2024-01-26,4060.523085772127
2024-01-27,4062.3103597637005
2024-01-28,4060.7990605918376
2024-01-29,4104.749212975428
2024-01-30,4096.191807653709
2024-01-31,4045.77799337169
2024-02-01,4092.104186776577
2024-02-02,4116.465388418597
2024-02-03,4114.206723122626
2024-02-04,4111.259594017413
2024-02-05,4094.092700563955
2024-02-06,4127.553138109945
2024-02-07,4222.410017511016
2024-02-08,4254.674838462841
2024-02-09,4354.932779604411
2024-02-10,4393.351942775745
2024-02-11,4371.750657014968
2024-02-12,4456.293846293455
2024-02-13,4412.688308182305
2024-02-14,4531.378657702287
2024-02-15,4498.738047614685
2024-02-16,4425.4961530380215
2024-02-17,4398.712850250892
2024-02-18,4459.278839585899
2024-02-19,4453.29414369224
2024-02-20,4401.099735465118
2024-02-21,4331.925460565322
2024-02-22,4341.524054973063
2024-02-23,4309.725536546713
2024-02-24,4385.332725664525
2024-02-25,4387.782945436792
2024-02-26,4509.178039027113
2024-02-27,4512.954826802876
2024-02-28,4707.614144181819
2024-02-29,4833.043371752368
2024-03-01,4959.744357534761
2024-03-02,4950.92629466971
2024-03-03,4977.636794675801
2024-03-04,5065.703513352744
2024-03-05,4874.791515907631
2024-03-06,5013.84379675417
2024-03-07,5263.6298546474345
2024-03-08,5262.735020439453
2024-03-09,5256.7656717292375
2024-03-10,5256.12020523861
2024-03-11,5354.226078800943
2024-03-12,5402.624931591997
2024-03-13,5596.134906151253
2024-03-14,5753.894055057568
2024-03-15,5792.099170519601
2024-03-16,5724.155318775292
2024-03-17,6069.079942258377
2024-03-18,5973.230510948257
2024-03-19,5512.77103860019
2024-03-20,5940.201769924228
2024-03-21,5742.048072046261
2024-03-22,5645.379166540729
2024-03-23,5625.218397105505
2024-03-24,5820.807473606264
2024-03-25,5926.92603970201
2024-03-26,5947.54756877803
2024-03-27,5884.927005505325
2024-03-28,5947.890291857201
2024-03-29,5977.689723899197
2024-03-30,6008.685038014107
2024-03-31,6162.306253996728
2024-04-01,5977.050403426442
2024-04-02,5736.46555182546
2024-04-03,5811.599288726608
2024-04-04,5781.8510900802885
2024-04-05,5651.725267015146
2024-04-06,5729.71318120103
2024-04-07,5752.589198973097
2024-04-08,5795.774845671475
2024-04-09,5688.393144041392
2024-04-10,5684.77288675936
2024-04-11,5698.216754736369
2024-04-12,5434.168451984299
2024-04-13,5418.0382004018375
2024-04-14,5420.3893717555475
2024-04-15,5387.788465658471
2024-04-16,5385.291285227005
2024-04-17,5365.345223641837
2024-04-18,5357.267209173491
2024-04-19,5328.412728007965
2024-04-20,5329.889588238885
2024-04-21,5329.760541821831
2024-04-22,5340.889636339264
2024-04-23,5364.19795205263
2024-04-24,5363.8678743320625
2024-04-25,5354.4878267424365
2024-04-26,5380.309271917779
2024-04-27,5381.272293206654
2024-04-28,5381.2196917746705
2024-04-29,5391.27337546748
2024-04-30,5340.159587036656
2024-05-01,5329.501659333719
2024-05-02,5354.139516443471
2024-05-03,5399.018541583275
2024-05-04,5399.928778805478
2024-05-05,5400.300719294336
2024-05-06,5425.204058915183
2024-05-07,5425.240845496836
2024-05-08,5420.300145893667
2024-05-09,5433.191977701958
2024-05-10,5434.290801237677
2024-05-11,5434.316513530083
2024-05-12,5435.021091124687
2024-05-13,5438.7578301945305
2024-05-14,5453.840994780104
2024-05-15,5500.552395319396
2024-05-16,5492.4639685729335
2024-05-17,5496.348723664064
2024-05-18,5496.668061348928
2024-05-19,5495.4876061049235
2024-05-20,5846.448977796343
2024-05-21,5775.07885692143
2024-05-22,5735.086221613119
2024-05-23,5700.502382364606
2024-05-24,5634.601652106067
2024-05-25,5653.839806364512
2024-05-26,5607.793311482346
2024-05-27,5698.9912467905215
2024-05-28,5667.340962033585
2024-05-29,5615.34138613223
2024-05-30,5589.7147278603325
2024-05-31,5572.946845537707
2024-06-01,5589.711853298512
2024-06-02,5555.2739965744
2024-06-03,5595.751940578833
2024-06-04,5702.654612288969
2024-06-05,5784.180424375633
2024-06-06,5734.826184839063
2024-06-07,5597.610519420346
2024-06-08,5550.826690940443
2024-06-09,5601.951145643548
2024-06-10,5575.8376004442325
2024-06-11,5467.908417881859
2024-06-12,5569.257035385077
2024-06-13,5493.292480185127
2024-06-14,5474.072710943195
2024-06-15,5509.093159729935
2024-06-16,5565.196353659295
2024-06-17,5515.991727920365
2024-06-18,5457.448039519582
2024-06-19,5456.7039300966335
2024-06-20,5410.7545532156155
2024-06-21,5396.454750369711
2024-06-22,5388.377048072327
2024-06-23,5323.255559620872
2024-06-24,5265.283639097398
2024-06-25,5281.978578364687
2024-06-26,5277.785709148716
2024-06-27,5290.76838424024
2024-06-28,5266.952877816874
2024-06-29,5267.47904719331
2024-06-30,5270.245463662262
2024-07-01,5277.560511188924
2024-07-02,5305.180489927967
2024-07-03,5330.557289175059
2024-07-04,5322.3402063456015
2024-07-05,5353.98336701159
2024-07-06,5357.514389215761
