date,estimated-transaction-volume-usd
2018-02-01,2614260637.5456
2018-02-05,1950770956.61802
2018-02-09,1627521235.26492
2018-02-13,1266134857.40392
2018-02-17,862408575.113852
2018-02-21,1582027830.28817
2018-02-25,735383768.774946
2018-03-01,2017041859.63693
2018-03-05,1573034810.84033
2018-03-09,1845969389.06628
2018-03-13,1429321787.63685
2018-03-17,709540062.340732
2018-03-21,1045367812.30046
2018-03-25,901137748.465333
2018-03-29,1120831366.94695
2018-04-02,768333587.034114
2018-04-06,720018556.313689
2018-04-10,812498863.15906
2018-04-14,516931824.839407
2018-04-18,826568991.032139
2018-04-22,674296002.598428
2018-04-26,1356669104.25048
2018-04-30,1039280676.98002
2018-05-04,1424167444.69354
2018-05-08,1305599529.85642
2018-05-12,914542131.232237
2018-05-16,1354020052.00064
2018-05-20,505408446.545892
2018-05-24,997838496.239073
2018-05-28,1030143175.61157
2018-06-01,860640929.266263
2018-06-05,753456738.768419
2018-06-09,512776472.436823
2018-06-13,1043117695.00437
2018-06-17,432811187.163212
2018-06-21,719955333.674926
2018-06-25,683034898.67434
2018-06-29,653028973.089305
2018-07-03,880290625.530195
2018-07-07,370270464.469499
2018-07-11,705107105.975675
2018-07-15,356017920.508622
2018-07-19,993456134.043958
2018-07-23,936055626.253313
2018-07-27,884506563.824998
2018-07-31,916151854.706209
2018-08-04,478730381.400988
2018-08-08,786985499.891174
2018-08-12,333729799.273728
2018-08-16,687000468.616544
2018-08-20,647035144.277823
2018-08-24,660537345.458553
2018-08-28,977831328.38873
2018-09-01,530711688.309403
2018-09-05,945103849.443573
2018-09-09,468243443.824087
2018-09-13,1248849239.09691
2018-09-17,572850819.087677
2018-09-21,984934175.352113
2018-09-25,852085846.884051
2018-09-29,463385867.587157
2018-10-03,739357175.753423
2018-10-07,250377608.065456
2018-10-11,887230191.302002
2018-10-15,1406050478.15614
2018-10-19,835097399.748975
2018-10-23,726527353.625848
2018-10-27,380002708.052395
2018-10-31,803653185.537381
2018-11-04,525975032.809028
2018-11-08,773348007.473165
2018-11-12,752483811.281994
2018-11-16,1082196428.0914
2018-11-20,1475820951.9215
2018-11-24,398983130.753916
2018-11-28,807058144.18961
2018-12-02,348205860.313343
2018-12-06,1426379105.59656
2018-12-10,526990901.514102
2018-12-14,523412561.153412
2018-12-18,717156551.783183
2018-12-22,303876048.573279
2018-12-26,422281688.50925
2018-12-30,267240600.175454
2019-01-03,586335098.627541
2019-01-07,622810992.785056
2019-01-11,1080849631.24838
2019-01-15,1270645847.43182
2019-01-19,310087042.05763
2019-01-23,538919234.425191
2019-01-27,223512708.830142
